"Date","Local Route","Light Rail","Peak Service","Rapid Route","School","Other"
"30/08/2024","25,321","13,759","258","28,216","5,938","190"
"15/09/2023","23,515","13,834","316","27,075","6,187","222"
"28/12/2021","2,805","2,981","0","6,089","0","43"
"11/01/2023","16,044","10,860","261","20,464","0","131"
"11/09/2021","1,285","893","0","2,289","0","28"
"31/01/2020","18,384","12,608","273","26,923","0","25"
"01/03/2023","26,000","15,075","439","30,620","7,109","276"
"17/07/2021","4,034","4,534","0","7,796","0","53"
"07/03/2023","26,521","15,359","407","30,437","7,301","223"
"12/11/2020","19,734","9,356","306","19,684","5,680","157"
"29/08/2023","24,258","14,867","448","29,386","6,382","322"
"30/09/2019","20,227","15,030","470","30,710","0","17"
"11/03/2023","5,929","8,275","0","13,612","15","61"
"11/06/2020","13,624","6,506","148","14,759","5,574","31"
"08/05/2022","2,718","4,226","0","6,954","0","43"
"22/06/2021","22,387","12,177","366","24,058","5,087","224"
"28/06/2022","18,212","10,853","303","21,026","3,902","210"
"19/07/2024","17,547","12,068","292","23,114","0","323"
"25/10/2021","9,959","4,418","96","10,232","2,249","99"
"05/05/2021","24,184","12,061","372","24,920","6,633","154"
"11/04/2023","17,749","12,103","331","24,261","0","108"
"04/10/2020","2,648","3,926","0","6,028","0","39"
"30/12/2021","6,731","3,895","23","8,046","0","80"
"27/10/2019","4,018","6,206","0","9,091","0","221"
"28/11/2019","26,309","15,702","480","33,353","5,457","51"
"19/12/2020","4,401","5,740","0","8,512","0","37"
"19/11/2022","5,584","6,986","0","11,779","0","81"
"13/09/2021","3,604","1,265","29","3,836","0","77"
"17/09/2023","4,061","6,272","0","11,166","0","76"
"30/12/2019","8,762","5,639","31","10,812","0","12"
"12/10/2019","5,033","8,053","0","12,294","0","16"
"04/11/2021","13,361","5,852","146","12,738","5,148","154"
"10/07/2024","18,953","12,904","347","24,433","0","314"
"18/01/2023","17,054","11,080","307","20,787","0","135"
"08/07/2024","17,204","11,285","313","22,832","0","202"
"12/09/2020","3,464","4,586","0","7,986","0","43"
"07/10/2023","5,929","8,450","0","12,893","0","66"
"02/06/2020","13,382","6,010","125","13,719","5,486","10"
"02/02/2022","17,263","7,867","135","16,524","6,806","168"
"15/05/2021","4,349","5,736","0","9,092","0","78"
"19/03/2022","4,814","6,159","0","10,452","0","58"
"02/02/2023","23,701","13,635","373","26,373","7,304","292"
"08/01/2021","12,434","8,353","162","15,120","0","86"
"07/03/2024","26,231","15,839","401","29,866","6,400","275"
"16/08/2024","25,295","13,845","296","28,424","6,773","279"
"23/10/2020","19,348","8,505","230","19,974","5,677","99"
"23/09/2020","18,722","8,454","233","18,010","5,701","133"
"10/05/2024","27,053","14,078","333","29,134","7,476","120"
"28/08/2024","25,890","14,611","387","30,602","7,042","425"
"23/07/2020","16,299","7,638","197","16,398","5,766","110"
"13/01/2024","5,234","6,005","0","9,849","0","64"
"26/02/2023","3,771","6,933","0","10,219","0","93"
"12/08/2020","17,256","7,609","201","16,695","5,782","116"
"12/09/2022","20,213","11,119","245","22,382","6,012","279"
"28/02/2023","23,781","14,817","409","29,158","3,093","257"
"28/03/2020","1,636","1,495","0","3,108","0","2"
"24/07/2019","27,670","15,880","517","34,783","6,315","47"
"18/08/2024","4,134","5,683","0","9,759","0","81"
"26/04/2021","3,334","3,963","0","6,609","0","70"
"08/12/2021","16,946","8,986","244","17,804","3,283","206"
"05/11/2019","27,182","16,200","518","34,547","6,499","67"
"01/08/2024","26,474","14,409","379","29,937","7,482","198"
"26/11/2020","20,527","10,735","274","21,224","5,228","153"
"16/06/2023","21,849","13,578","327","25,839","6,196","184"
"21/12/2019","4,341","6,075","0","9,287","0","6"
"01/01/2023","2,255","3,040","0","5,053","0","44"
"09/10/2022","3,406","4,787","0","8,154","0","41"
"07/08/2023","23,870","14,159","390","27,963","6,522","229"
"31/08/2024","7,326","7,318","0","12,862","0","70"
"18/07/2020","2,811","4,450","0","6,747","0","46"
"20/07/2022","20,178","10,859","266","21,643","5,672","203"
"27/03/2024","24,806","15,731","442","27,997","5,895","344"
"04/10/2019","19,960","15,307","353","31,733","0","16"
"11/02/2021","24,421","11,914","346","24,560","7,194","210"
"23/07/2022","4,646","6,173","0","10,156","0","67"
"20/04/2020","4,760","2,388","65","5,757","0","4"
"03/05/2020","1,441","1,477","0","2,876","0","1"
"25/09/2021","1,359","1,013","0","2,485","0","24"
"06/09/2019","25,093","14,607","436","31,217","5,974","44"
"24/03/2023","24,646","14,412","346","28,451","6,683","265"
"09/09/2020","17,628","8,062","177","17,053","5,713","139"
"28/07/2021","22,135","11,223","355","23,001","6,175","166"
"15/04/2024","20,126","13,071","409","25,827","0","284"
"05/07/2024","21,148","12,208","284","24,590","3,651","319"
"26/01/2021","2,998","3,543","0","6,630","0","43"
"30/08/2023","24,485","14,449","437","28,804","6,366","331"
"13/05/2023","5,923","7,473","0","12,006","0","102"
"09/07/2020","10,077","6,740","144","13,863","0","31"
"26/07/2019","26,520","15,942","333","33,345","6,164","54"
"24/09/2020","19,105","8,734","248","18,555","5,661","114"
"12/07/2023","17,543","12,795","386","23,208","0","206"
"01/10/2019","21,216","16,066","462","32,969","0","17"
"03/04/2024","23,827","14,554","442","27,832","5,848","347"
"04/06/2022","3,963","5,095","0","8,826","0","39"
"25/12/2021","518","452","0","894","0","2"
"12/03/2021","24,142","12,318","291","24,835","6,403","173"
"14/12/2021","16,580","9,135","258","18,687","1,183","185"
"23/02/2020","4,278","7,785","0","10,662","2","21"
"27/02/2022","2,964","4,463","0","7,098","0","74"
"10/06/2021","22,635","11,913","325","23,743","6,148","191"
"04/01/2023","12,697","7,860","167","15,692","0","134"
"10/12/2022","5,525","7,607","0","11,655","0","77"
"22/02/2021","23,558","11,494","358","23,886","6,588","242"
"17/09/2019","26,337","15,362","526","34,824","6,249","30"
"10/01/2021","2,698","2,641","0","5,956","0","46"
"02/03/2020","28,785","16,304","544","37,008","7,120","34"
"01/05/2020","5,055","2,475","51","5,922","86","24"
"12/10/2021","4,584","1,809","45","4,888","0","71"
"07/06/2022","19,214","10,671","269","20,889","5,539","185"
"13/10/2022","22,977","12,448","291","25,264","5,837","259"
"19/07/2023","23,632","14,158","418","27,062","6,744","297"
"06/04/2024","5,080","6,460","0","9,134","0","105"
"06/03/2022","2,909","3,839","0","7,346","20","45"
"18/03/2022","20,661","11,033","226","22,063","5,894","249"
"05/10/2022","15,119","9,853","295","19,776","0","156"
"02/08/2024","26,076","13,986","302","28,039","7,069","213"
"10/04/2020","636","713","0","1,471","0","5"
"20/04/2024","7,646","7,800","0","13,031","0","79"
"14/05/2024","27,616","15,075","414","30,637","7,617","267"
"24/02/2020","29,101","16,139","576","36,764","7,340","2"
"28/10/2020","19,924","9,281","280","19,740","6,086","115"
"20/10/2023","24,811","14,558","315","28,339","6,446","353"
"27/11/2022","3,831","5,398","0","9,478","0","81"
"24/11/2021","15,841","7,943","207","16,972","5,198","182"
"10/05/2022","20,217","11,403","316","22,174","6,048","239"
"13/02/2024","29,336","14,913","463","32,012","8,776","237"
"17/03/2024","3,660","6,026","0","8,815","0","84"
"16/11/2019","5,649","8,327","0","12,445","0","12"
"10/07/2020","9,742","6,914","127","13,689","0","39"
"01/01/2022","1,654","2,107","0","3,791","0","28"
"17/06/2023","5,774","7,170","0","11,672","0","117"
"26/09/2022","16,291","11,124","250","21,278","0","183"
"01/12/2022","21,596","12,483","269","24,377","4,942","195"
"28/02/2020","28,915","18,782","476","37,878","7,063","28"
"20/11/2022","3,675","5,105","0","8,696","0","76"
"03/08/2020","16,462","7,372","170","16,004","5,875","152"
"30/08/2019","26,411","16,087","416","33,730","5,730","66"
"07/05/2020","5,860","3,107","66","7,443","173","22"
"26/01/2023","3,679","5,155","0","9,087","0","73"
"18/08/2023","22,947","14,005","300","27,474","5,962","213"
"09/04/2024","22,877","13,776","460","26,058","5,791","250"
"18/08/2021","3,473","1,174","34","3,399","30","40"
"17/05/2020","1,567","2,001","0","3,336","0","3"
"16/03/2023","26,035","14,856","306","30,364","6,997","274"
"04/06/2023","3,478","4,929","0","8,586","0","51"
"17/04/2024","21,382","14,126","461","27,747","0","327"
"26/04/2024","18,416","12,046","233","23,688","0","327"
"09/01/2023","15,113","9,935","252","19,349","0","106"
"19/07/2022","20,357","10,871","270","21,351","5,965","187"
"27/04/2024","7,452","7,538","0","12,317","0","113"
"26/08/2021","3,404","1,138","23","3,265","0","51"
"07/02/2024","28,673","15,046","472","31,414","9,050","334"
"06/02/2022","2,833","3,474","0","6,273","0","55"
"01/09/2020","17,506","8,211","212","17,547","5,662","145"
"19/12/2022","15,711","10,157","224","19,300","0","185"
"11/02/2020","29,088","16,151","585","37,304","7,852","31"
"06/07/2022","14,634","10,082","276","18,704","0","135"
"19/05/2023","23,356","13,707","378","26,525","6,021","343"
"05/05/2023","23,504","13,764","343","26,840","6,233","255"
"07/08/2024","26,925","15,081","402","30,905","7,422","320"
"29/09/2024","3","0","0","21","0","2"
"06/04/2023","23,375","13,631","310","26,747","5,976","234"
"21/06/2024","23,596","12,572","311","25,789","6,831","325"
"26/01/2022","2,661","3,123","0","6,115","0","72"
"22/09/2020","18,605","8,619","255","18,639","5,849","106"
"31/07/2019","27,943","16,275","537","34,614","6,321","114"
"09/11/2019","5,324","8,004","0","12,459","0","5"
"02/03/2023","25,912","15,064","391","29,885","6,503","360"
"19/03/2024","26,260","16,425","465","30,342","6,377","391"
"13/08/2020","17,558","7,958","192","17,234","5,735","132"
"15/06/2022","19,919","11,172","267","21,662","5,437","185"
"27/02/2023","25,296","14,046","383","27,938","7,239","228"
"12/04/2021","16,365","10,559","311","20,783","0","119"
"31/10/2023","25,734","14,136","381","28,328","7,110","314"
"29/04/2020","4,406","2,246","70","5,767","81","14"
"10/02/2020","25,946","14,418","491","32,442","6,498","12"
"06/08/2020","17,131","7,965","204","16,754","5,660","112"
"26/12/2023","3,747","4,835","0","9,240","0","64"
"12/05/2024","3,727","5,585","0","9,365","0","73"
"02/12/2020","20,496","11,002","296","21,157","4,926","127"
"03/08/2024","7,379","7,639","0","12,535","4","124"
"16/09/2021","3,943","1,483","32","4,162","0","73"
"27/11/2021","4,053","4,835","0","8,313","0","60"
"11/05/2020","6,283","3,113","86","7,664","857","17"
"29/04/2022","20,797","11,600","231","22,785","6,297","176"
"04/12/2020","19,939","11,804","216","21,569","4,479","110"
"15/11/2020","2,947","3,966","0","6,650","0","43"
"19/11/2021","15,785","8,379","149","16,277","4,855","166"
"11/02/2023","5,989","7,678","0","12,477","0","106"
"24/07/2023","24,109","14,470","417","27,426","6,668","249"
"02/10/2023","3,897","5,818","0","9,638","0","98"
"15/05/2024","27,493","15,308","453","30,090","7,550","239"
"17/10/2021","1,397","1,747","0","3,328","0","50"
"02/01/2020","10,130","8,048","128","14,003","0","21"
"29/04/2021","25,063","12,999","372","26,673","6,513","248"
"09/02/2023","22,873","12,746","315","25,796","6,531","279"
"06/01/2021","11,809","7,673","201","14,248","0","89"
"15/11/2023","22,977","13,832","410","26,252","5,366","271"
"05/02/2021","22,893","11,771","273","22,931","7,152","239"
"28/12/2023","10,689","6,417","30","12,548","0","168"
"08/01/2023","3,535","5,140","0","7,828","0","67"
